Title,Channel,URL,Thumbnail URL,Description
SPIDER-MAN: NO WAY HOME - Official Trailer (HD),Sony Pictures Entertainment,https://www.youtube.com/watch?v=JfVOs4VSpmA,https://i.ytimg.com/vi/JfVOs4VSpmA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmfn0GQsGrU6mY6vIc07RKD8C8gg,"We started getting visitors… from every universe. Watch the official trailer for #SpiderManNoWayHome, exclusively in movie theaters December 17. Tickets on sale C̶y̶b̶e̶r̶ Spider-Monday,..."
"ENCANTO ""Surface Pressure"" SONG CLIP",Flicks And The City Clips,https://www.youtube.com/watch?v=QlUNfFcBttU,https://i.ytimg.com/vi/QlUNfFcBttU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAuN7gKkTkwQjhSukqgHVs36sJjFQ,"Encanto official promo song clips & trailer for Disney's 2021 musical animation, the tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia in a magical..."
Turning Red | Official Trailer,Pixar,https://www.youtube.com/watch?v=XdKzUbAiswE,https://i.ytimg.com/vi/XdKzUbAiswE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCT9X4QF7eft1HNyqrn-QjZvWIQRA,"It’s gonna be Mei! 🐼 Watch the brand-new trailer for Disney and Pixar’s Turning Red, coming March 2022. Disney and Pixar’s “Turning Red” introduces Mei Lee (voice of Rosalie..."
"DON'T LOOK UP | Leonardo DiCaprio, Jennifer Lawrence | Official Trailer | Netflix",Netflix,https://www.youtube.com/watch?v=RbIxYm3mKzI,https://i.ytimg.com/vi/RbIxYm3mKzI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDb0AMSjIUiV3qCYPNQy5iOh2X5Ow,Based on real events that haven’t happened - yet. Don’t Look Up in select theaters December 10 and on Netflix December 24. DON’T LOOK UP tells the story of two low-level astronomers...
HARRY POTTER: RETURN TO HOGWARTS Teaser 2 (2022),ONE Media,https://www.youtube.com/watch?v=rrbCoZ3Or4g,https://i.ytimg.com/vi/rrbCoZ3Or4g/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVmPPzBfYPUv4vPQ_InY9H0f7kiQ,"HARRY POTTER: RETURN TO HOGWARTS Teaser 2 (2022) Daniel Radcliffe, Rupert Grint, Emma Watson, HP, Harry Potter Reunion © 2021 - HBO Max"
83 | Official Trailer | Hindi | Ranveer Singh | Kabir Khan | IN CINEMAS 24TH DEC,Reliance Entertainment,https://www.youtube.com/watch?v=QHdkC6Kn0Io,,"Presenting the official trailer of 83 (Hindi), Directed By Kabir Khan. Celebrated by Mobil. #ThisIs83 On 25th of June 1983, the Lord’s Cricket Ground witnessed one of the biggest underdog..."
The Matrix Resurrections – Official Trailer 2,Warner Bros. Pictures,https://www.youtube.com/watch?v=nNpvWBuTfrc,,Remember what is real. Watch the new trailer for The Matrix Resurrections now – in theaters and on HBO Max 12.22.21. Get tickets: https://gettickets.whatisthematrix.com #MatrixMonday #TheMatrix...
And Just Like That... A New Chapter of Sex and the City | Official Trailer | HBO Max,HBO Max,https://www.youtube.com/watch?v=Cy8Zz7Q56dY,,"If you have good friends in your corner, anything is possible. After all the years, and all the changes, a new chapter of Sex and the City begins. And Just Like That… arrives Dec. 9 only..."
Pushpa Official Trailer | Allu Arjun | Rashmika | Fahadh Faasil | Sukumar | DSP | 17th Dec,Mythri Movie Makers,https://www.youtube.com/watch?v=Q1NKMPhP8PY,,"Pushpa Official Trailer on Mythri Movie Makers. Written and Directed by Sukumar. Produced by Naveen Yerneni and Y. Ravi Shankar of Mythri Movie Makers in association with Muttamsetty Media,..."
"Atrangi Re | Official Trailer | Akshay Kumar, Sara Ali Khan, Dhanush, Aanand L Rai",DisneyPlus Hotstar,https://www.youtube.com/watch?v=x3oMm5JGXZM,,"Ek undekhi love story aur teen atrangi log. 🏹󰝅󰨹 This Christmas get ready for a magical experience! #AtrangiReTrailer #DisneyPlusHotstarMultiplex Gulshan Kumar & T-Series, Aanand L..."
